Feedback,Category,Sentiment
Don't waste your time staying here if you are a business traveler. The Internet is awful and they don't support iPhone or iPad \n\nSo many better options around,Facilities,Negative
"interview with the assassin is structured less as a documentary and more as a found relic , and as such the film has a difficult time shaking its blair witch project real-time roots .",Academics,Negative
College organizes regular sports tournaments and athletic competitions,Others,Positive
"I am sorry to be writing this review.  My first visit to Blue a few years ago was fabulous.  The service was very good!  But, this time not only was the food not impressive, but it was totally boring! The calamari appetizer was good, but not worth $11.00.  The hummus appetizer was 2 golf ball sized",Mess,Negative
College administration consists of various departments serving different student needs.,Administration,Neutral
"I have enjoyed my stay very much. The complimentary breakfast was also very delicious. My room was clean and comfortable. My only complaint was the amount of TV channels offered, however you get free WiFi. I would stay here again.",Hostel,Positive
"literally just learned that """"otter"""" was a thing on Tuesday. Gay roommate is teaching me so much.""",Faculty,Positive
Peer study groups are common but not formally organized by the college.,Academics,Neutral
"Never been treated so poorly\n\nI went with three friends to eat at Tessaro's on a rainy Saturday evening.  I dropped them off while I parked the car.  The hostess  sat them and when she found out I was parking the car, she told them literally to \""GET UP.\""  She said they wouldn't seat them because",Facilities,Negative
The college deserves credit because the multicultural affairs office creates inclusive programs celebrating diversity.,Administration,Positive
Maybe I just don't like German food but was very unhappy with all the food I tasted. It could have been what I ordered? I was disappointed with the selection of food as well. I ordered a Chicken Salad Sandwich and it had way too much sauce on it. My husband let me try a bite of his Rueben which was,Mess,Negative
We did or not I'm Happy that place and anyway congrats to all who support to Lady Gaga she got 2nd place Lady Gaga,Faculty,Positive
Just had the worst experience at a nail salon. A older male nail technician did my nails and i usually get the pink and white fill. He needs another class with filling in the white part and an attitude adjustment.  See pic.  I told him I didn't like it he said I was picky and they looked better than,Academics,Negative
This place is okay. The waiter was horrible and barely checked on us. The food was also not too good. It was very bland and didn't have a lot of taste to it. I will not be coming back.,Mess,Negative
The alumni office maintains strong connections and provides networking opportunities.,Administration,Positive
If you see someone getting pummeled to the ground in Digi tomorrow it'll be me chinning cause she's a fucking cheeky cunt,Facilities,Negative
how inept is serving sara ? it makes even elizabeth hurley seem graceless and ugly .,Mess,Negative
"CVS' Minute Clinic should be renamed. I have found it to be significantly less convenient than making an appointment with my doctor. Due to my employer's requirement to get a wellness screening for insurance purposes, I have found myself signing in to the minute clinic on 5 separate occasions. Each",Facilities,Negative
We were looking for a good Chinese place and I saw the reviews for Great Wall of China.  We decided to try it on Sunday after church. It  looked like it might be crowded with all the cars in the parking lot but when we got in the restaurant was bigger than it looks and it didn't feel cramped at all.,Facilities,Neutral
The MTA should cost less at night. I think I waited more than 45 minutes. And it's pretty freaking hot underground. Thanks. .,Hostel,Negative
Clean very clean present people $2.10 for shirts and I hate doing launder at a mat but if I have to then I will do it hear.  It's worth the extra buck to do it some where thats clean has WiFi a tv for the game and is right next to a bottle shop and a bar. Ok everything is stainless.,Facilities,Positive
"""We also wrap up our discussion of the Summer Olympics, present our weekly box office report &amp; discuss how 2 of NBC's Fall shows may be DOA.""",Administration,Neutral
"Uno Chicago Grill offers a terrific menu, including their irresistible Deep Dish Chicago-style Pizza where every last bite (including the crust!) is delicious. I've frequented Unos numerous times in multiple cities, including Orlando, Rochester & Syracuse NY, and, of course, the original Pizzeria Un",Academics,Negative
"This place is great. It's an old building but they really make it work and don't fight their limitations at all.  It's well located, there's a bar in the lobby (watch yourself, that guy pours em stiff), and the staff give a crap.  The only drawback is the parking situation ...and it's a little hard",Facilities,Positive
Very good Mexican place! I got the enchiladas verdes which were a little too spicy for me but very good. My boyfriend got a steak quesadilla which was AMAZING! I wish I ordered it. Friendly staff and comfortable setting!\n\nBeen here twice... The second time I ordered the guacamole which they made f,Administration,Positive
I love this store. I can just spend hours walking around getting ideas of things to either update or change around my house.\n\nAll of the sales associates are very helpful and knowledgeable. Sometimes it's hard to find someone to help you because they are busy helping other customers.\n\nThey even,Faculty,Positive
And some fools still believe Boko Haram are Muslims. They kill more Muslims than Christians. How does that make sense? May Allah help us all,Faculty,Negative
Fee payment portals are user-friendly and process transactions smoothly.,Administration,Positive
the balkans provide the obstacle course for the love of a good woman .,Academics,Negative
"My home airport, I have originated and terminated quite a few trips and it's given me the opportunity to compare CLT with others. Easy access for picking up and dropping off passengers, we also have relatively cheap covered and uncovered parking.\n\nCLT is a great airport if you have a layover. We n",Facilities,Neutral
"Unfortunately, I can not say I would recommend going to Town and Country Ford to purchase a vehicle. After spending time with a salesman I was told that the deal I was trying to get was impossible. Because I would not allow them to run my credit to run general numbers, I was told by the salesman I w",Academics,Negative
"One night I was watching the Travel channel, they had a show called Top 10 Places to Pig Out.  Of course I paying attention and taking notes :)  When they mentioned Primanti's and Pittsburgh I was like Yes! I'm there!  I could not wait to get my hands on this giant sammich of all sammiches.  My only",Academics,Positive
"We got a deal on priceline and stayed here for an event near Charlotte. To be fair, this place is certainly a 4 star hotel, it's just that we hold different priorities than the hotel rating system does. We are not generally 4 star spenders.\nYou kind of get forced into valet parking - weird to me. I",Facilities,Neutral
"given too much time to consider the looseness of the piece , the picture begins to resemble the shapeless , grasping actors' workshop that it is .",Facilities,Negative
"I went here with my family on a Friday night.  There were six adults and two kids.  We went early, about 6:30 - 7 to avoid the rush.  We parked in the garage in the same block.  The fee is validated by the restaurant.  I was very excited to try this place because my family has eaten here before and",Administration,Neutral
"the movie's gloomy atmosphere is fascinating , though , even if the movie itself doesn't stand a ghost of a chance .",Others,Negative
Sports facilities timing conflicts with academic schedules,Facilities,Negative
Yes... Dorstop was on the Food Network but I believe that the show has brought too much business to the local breakfast/lunch restaurant. Most of the time the servers are cranky and rushing so they forget items or customer needs and the food isn't as good as it used to be. Either they need to expand,Mess,Neutral
The worst restaurant ever! It doesn't matter if the food tastes good or not.. The service is the worst! Lazy and slow as ever!,Mess,Negative
Okay I'm rewatching that new kurt cobain documentary and I haven't been this far up nirvana's ass since the 8th grade,Academics,Neutral
"Pros:\n- At least there's a climbing gym in this area\n- Walls get reset often\n\nCons:\n- I've been coming here a couple times a week for the past few months now, and I have felt like some of the walls really need some padding besides the not-so-great spring board they have. The walls are pretty hi",Facilities,Negative
just told by no loaner car until the 27th great Lexus experience.Definitely not the expectation that was set at sale,Others,Negative
it's always against no doubt Kane will end his drought on Saturday,Faculty,Neutral
Inadequate parking space causing congestion and inconvenience to students and staff,Facilities,Negative
Don't miss special hometown show at on April 2nd with support from The Twilight Sad!,Faculty,Neutral
"To start, the bathrooms are DISGUSTING, with that being said I would never EAT anything here again.  This is a neighborhood bar for me.  I've been in here a handful of times, the crowd is never rowdy or out of control.  The bar area is clean and the restaurant has a very nice mellow atmosphere. I no",Others,Negative
"this is a great subject for a movie , but hollywood has squandered the opportunity , using it as a prop for warmed-over melodrama and the kind of choreographed mayhem that director john woo has built his career on .",Academics,Negative
"I'm definitely a fan. The service was awesome, prices were right and the food was filling. We went for brunch and walked into a mostly empty restaurant. The sweet potato pancake had a unique texture, a bit on the sweet side (no syrup necessary), but delish. The biscuits were buttery and flaky. Aweso",Mess,Positive
"If I could give zero stars I would.  Waited almost a half hour for my number to be called to even be registered, but that never happened.  I ended up leaving and going to cvs clinic instead.  Won't ever go back there.",Facilities,Negative
Here here for superman... err John Cena reported injured Saturday night but just fine for Monday Even got a pin FTW,Hostel,Positive
"I work on the North Side and went for a walk to find something new for lunch.  I am quickly growing tired of Eco Bistro directly downstairs from my office at Allegheny Center.\n\nAt any rate, came across this place at the corner of Ohio and the onramp to 279.  The lunch special was inexpensive and g",Administration,Neutral
If I can get one Muslim to agree killing of Muslims is the responsibility of Muslims. I may help.,Faculty,Negative
Never eaten here so this review is literally only for the Octoberfest  event they host.\n\nOne word...fun!  Tons of authentic german music and lots of happy smiley people dancing around and having a ball eating brats and red cabbage.  That's the scene here.  I've been 2 years running and I'm a fan f,Mess,Neutral
"Stopped in on the Fourth of July for evening cocktail and small meal. From horrible service to terrible seafood...would never return. We waited a very long time for cocktails and order to be taken, when there was little crowd around in the restaurant. Then, our oyster order came out on a plate of wa",Mess,Negative
"Great little hole-in-the-wall type place. Sandwiches are wonderful, especially the Carolina Turkey Club.",Others,Positive
I reckon in 6 years time I\u2019ll be in with a chance of fucking Pixie Lott if I bump into her on a night out. Rohypnol may be required.,Hostel,Negative
Oh c\u2019mon. Theres like two whole weeks between the SuperBowl and the Daytona 500. That\u2019s all the quality time I have to offer.,Mess,Neutral
I am in the service industry and my friends and I came here for my birthday. It was the worst experience and the bartender wouldn't give us lemons or limes for our drinks. She was rude and all over the place. We would have spent a lot of money but she deterred us from that.,Others,Negative
"CLT:\n\nWithout a doubt, Charlotte Douglas International is the best airport in the Carolinas.  It's the biggest airport in North and South Carolina, so it offers the most options when it comes to flights.  This typically means lower airfare, more scheduling flexibility, and a larger number of non-s",Faculty,Neutral
"I do believe next Tuesday may be my first night in the seat! I'm looking forward to getting stuck in! Thanks Niall,much appreciated""",Hostel,Positive
"it's a deeply serious movie that cares passionately about its subject , but too often becomes ponderous in its teaching of history , or lost in the intricate connections and multiple timelines of its story .",Academics,Negative
"""2 and half weeks for holiday, 3 weeks got Stevens 30th and my mams party and then it'll be time to put the tree up and get ready for Xmas""",Administration,Neutral
"My husband is in law enforcement and has been wanting to try an area dry cleaners to have his uniforms washed and pressed. After doing some research on Yelp, I chose to take his uniforms to Kim's Cleaners. I am not saying that our experience was the typical experience, but would like people to know",Others,Negative
"be patient with the lovely hush ! and your reward will be a thoughtful , emotional movie experience .",Others,Positive
Awesome veggie Sunday lunch at the Prince George in Brighton. A great little pub!,Mess,Positive
Fee receipts and financial documents are accurate and issued promptly.,Administration,Positive
David Miliband is coming tomorrow! He is meeting NULC exclusively at 14:30 in Martin Luther King Room\u002c Students\u2019 Union. Make sure you RSVP!,Hostel,Positive
"BEST COFFEE IN PITTSBURGH!\n\nYou might think there is better coffee elsewhere.  You're wrong!\n\nI love this coffee shop, and there is a second location the Gates Building at CMU that I like to go to--their panini are to die for.\n\nI love this place, and you will too!",Facilities,Positive
Seth Rollins is much less than zero percent happy. He wanted this past Monday to be the greatest night of his career!,Hostel,Negative
Club remix next Saturday night ALLSTAR will be in the building,Facilities,Neutral
Interested in Islam? This course is being offered at Overlake Christian Church. The first class on the 14th is...,Academics,Neutral
"Just your typical small town post office. Service is always pretty quick & the lines aren't entirely too long. They have all your mailing needs along with post office boxes as well. So nothing special, just your typical post office.",Administration,Neutral
"Recently had my son's 9th birthday party here.\nStaff is super nice but the overall facilities are small and lacking for a child's birthday party.\n\nThere is not an area for adults to sit while kids are in the laser tag area.\nNo assistance is provided in the 'party room' for distributing drinks, p",Hostel,Negative
The administration fails to ensure that the campus is dirty with litter accumulated around common areas.,Facilities,Negative
Parking facilities are expensive and not affordable for all students,Facilities,Negative
I cant take it any more im so excited for SUNDAY NIGHT JOHN CENA IN THE SMASH DOWN OF HIS LIFE!!,Hostel,Positive
Had their pizza last night for my sons sleepover. None of the kids ate it and complained that it tasted metallic. It was indeed pretty horrible even for $5.99 per medium. We will never go near the place again.,Hostel,Negative
One positive aspect is that campus banking services with ATM facilities for student convenience,Facilities,Positive
It is disappointing that lecturers rush through syllabi leaving students without adequate understanding.,Faculty,Negative
Faculty members demonstrate commitment to academic excellence and institutional growth,Faculty,Positive
"Meh, I've experienced better. My pollo con chorizo (chicken breast & sausage) had a couple itsy bitsy pieces of chorizo... umm, you're supposed to get more than that if you're ordering a $11 dish and not off the lunch specials. I didn't get the flour tortillas either without explicitly asking for th",Faculty,Negative
So I thought yesterday was Tuesday. I\u2019m thinking today will be a little like the movie Ground Hog Day.,Facilities,Neutral
"to honestly address the flaws inherent in how medical aid is made available to american workers , a more balanced or fair portrayal of both sides will be needed .",Facilities,Positive
: Ben Amos is a doubt for tonight\u2019s Hull City game vs Doncaster (2nd round League Cup)\u002c with a groin problem.,Faculty,Negative
"bravo for history rewritten , and for the uncompromising knowledge that the highest power of all is the power of love .",Faculty,Positive
"""No alarms set for tomorrow, all of my animals in bed with me and I'm watching Twilight. Is this heaven?""",Hostel,Positive
come join mark on his charity live stream to help fight Depression and Bipolar ^-^ you may even an ipod,Faculty,Positive
aw I'm so happy for you guys! Tell everyone I say hi! I'll be in Hamilton Monday night for the Demi Lovato concert!!,Hostel,Positive
"""The best part of living in New York is the nightlife. The 2nd best part is knowing that Jay-Z and Beyonce share the same weather as me.""",Hostel,Positive
"I had lived outside of Pittsburgh for a couple of years and have eaten at this Primanti Brothers location four or five times. Their sandwiches were always tasty, worth the wait and the trouble of finding parking etc. So, when my parents came to visit, and we made a trip out that-a-way, I knew that w",Facilities,Negative
"""The Sun's back page story by Apollo Gees. Trying to find him on Twitter but having no luck, can anyone help? Was he part of the Bee Gees?""",Faculty,Neutral
the film is predictable in the reassuring manner of a beautifully sung holiday carol .,Administration,Positive
"I eat this pizza all the time when downtown, usually when running around at events like First Night or the Gallery Crawls...not the best pizza I have ever had in my life, but it's not bad!  And I haven't ever gotten sick from it.  Just wanted to offer a different opinion.",Hostel,Neutral
Students appreciate that fee receipts and financial documents are accurate and issued promptly.,Administration,Positive
No doubt my mom will either faint or take her top off when she meets Eric Church tomorrow,Faculty,Positive
an example of my shitty luck is that I was in magic kingdom on monday and chris evans is there tonight like wtf universe help me out,Faculty,Negative
"""Foo Fighters in 2 days, night with my fave people tonight, work night tomorrow, and watching a panda open his birthday presents this morning""",Hostel,Positive
maybe he will let us go 3rd period to get it fixed. Or Kane's class,Academics,Neutral
Mess closes early leaving students who finish class late without food.,Mess,Negative
Worst airport in the area. Never come to CLT on Monday morning. The valet parking was full by 6:10 am. Security lines are ridiculous. I drove up from Columbia SC for the last time.,Facilities,Negative
"Extremely pleased! Loved the bread at the table, wedding soup was amazing, the pizza I chose for dinner was very unique - fried the finished in the fire oven. It was excellent. Loved the Italian craft beer as well! Will be back!",Mess,Positive
"""Dude, this new Iron Maiden album is frikken AWESOME to the 10th degree.""",Academics,Positive
"Went my first time for Thursday karaoke and had a blast!  They serve mediterranean fare; at least half the menu is vegetarian/easily vegan.  There are at least 2 bike racks outside, cars have decent options too.  At 10pm an improv comedy group showed... you can imagine the energy.  Super fun night,",Mess,Positive
Atmosphere and service was great. Appitizers were good. For dinner We ate the pork tenderloin and a ravioli of some sort.  Both tasted good with the pork tenderlion being the best.,Mess,Positive
an intoxicating experience .,Others,Positive
a big meal of cliches that the talented cast generally chokes on .,Mess,Negative
So\u002c in Jan 2010 Darryl Issa called investigating Wikileaks a priority and today he dumped raw intelligence data on internet? Irony\u002c anyone?,Facilities,Negative
"""so mummy wants to go Hat Yai during the Christmas period, together w aunt. But my holiday starts on Dec 10 i think. mmm""",Administration,Neutral
"Up-charges most of their products that you can find on B&H for way less money. Sales person treated me like I was a very inexperienced. Not a bad place if you're in need of camera gear without a moments notice, but overall definitely order offline.",Others,Negative
"Prochoice Planned Parenthood's Foggy Evil: On Tuesday, the Center for Medical Pr...",Facilities,Negative
"It's a Westin, you pretty much know the deal if you stay at them often- but they do vary a bit in terms of overall quality, though Charlotte leans a bit toward the low end for a Westin, I'm afraid. It is a sleek, newish building with the cool, polished feel that most Westin's throw down. The Ember G",Facilities,Neutral
"It's true that the bathrooms are teeny. It's true that the hotel feels a little dated. But I've stayed here twice and had pleasant experiences both times. The room was clean. The bed was comfortable. The staff was friendly. I would probably put it at 3.5 stars if possible. Given the brand, I feel li",Hostel,Neutral
"an often-deadly boring , strange reading of a classic whose witty dialogue is treated with a baffling casual approach",Faculty,Negative
"Although Arthur's offers a good variety of options, the service and execution, and wait time has diminished the last few times I was there. I ordered a six inch turkey hoagie, with chips and a drink, $12.00, ugh! The sandwich was brought with no tomatoes and lettuce and they forgot to add the onions",Mess,Negative
"Reminder that if you normally have city garbage pickup in Lexington on Mondays, it will be tomorrow due to the Labor Day holiday",Administration,Neutral
"So the majority of my food was good here, appetizer (King Edward Mussels), dessert (sorbet) but the main course I ordered: soba noodle was horrible. It was way to salty which overwhelmed all other flavours.  Normally I would give a place a second chance, but this is soba we are talking about the nam",Academics,Negative
"with one exception , every blighter in this particular south london housing project digs into dysfunction like it's a big , comforting jar of marmite , to be slathered on crackers and served as a feast of bleakness .",Academics,Positive
Dustin Johnson hits his approach to the 17th green at the,Faculty,Neutral
Happy to see the Patriots stick to the 'Wednesday' tradition of not just Tom Brady talking but food for the media,Mess,Positive
"""R&amp;R at the Fairmont Orchid in the middle of the Oracle Presidents club w 3500. Setting up for Philip Phillps to sing tonight, Elton on Sun.""",Others,Neutral
"After the 2nd round, you did your usual melodramatic spew that Dustin Johnson was in a class of his own. Same old garbage.""",Academics,Negative
"If you missed out on Pope tix for Independence Hall,just annnounced 2 more tix avails online 4&amp;8pm Wed",Facilities,Positive
"I really want to see small coffee shops succeed, I do. Regent Square is full of small businesses and the community is really supportive. I believe this and the lack of coffee chains is the only reason they are still open. They are cash only, but so is half of all the other businesses on that street,",Others,Negative
thank god i was so nervous i didn't how Michael Jackson hardcore fans may feel about taking on such a big project,Academics,Positive
"""It was a regular Friday night and Naruto sat in his office. Usually, it wouldn't be odd or unusual since that's his job, to simply sit and -""",Administration,Neutral
going to need Dunkin tomorrow can someone plz help ya girl out,Faculty,Neutral
Outdated teaching methods without use of modern technology or interactive learning approaches,Faculty,Negative
Winchester Wednesday is almost here! Are you ready for ? -- CW Network (),Others,Neutral
"2.5 stars.\n\nThe room was fine, it was clean...  But for the money I would recommend staying on at the Hampton Inn right across the street...  The exterior of all the buildings looks really bad, beat up, wood is rotting, paint is coming off.  Also, the location of the Homewood Suites, its kind of d",Hostel,Neutral
Interesting: More Tudou staff may follow chief out the door.,Administration,Positive
"Came here with a small group for a business dinner.  The staff were VERY friendly, professional, and helpful.  They seemed in a good mood and provided very nice recommendations for wine, appetizers, and meals.\n\nThe wine selection is incredible but, i was disappointed with the tap beer selection.",Administration,Positive
Campus landscaping creates pleasant environment conducive to learning,Facilities,Positive
Medical facilities handle routine issues but complex cases require referral.,Facilities,Neutral
v Real Madrid 99k. 3rd best support in 13 yrs - what does that make the rest ? We had 32k in div 2 but who cares really .,Faculty,Neutral
Todd Bowles and players talk about what they're expecting from Saturday night's Green &amp; White practice at MetLife:,Hostel,Neutral
"Big Apple event today. Looking forward to the 12"" iPad Pro. Dare I say it may support a stylus?",Faculty,Positive
I was happy to find that internship credits are structured to encourage real-world experience.,Academics,Positive
Internship programs are poorly coordinated and offer minimal academic credit.,Academics,Negative
"I used to really like this place, but the service can't be overlooked anymore.  I ate here recently on a monday afternoon (granted it's not the A team on Monday's), but  it was so obvious the staff just wanted to get us out of there so they could go back to reading star magazine.  The food was good,",Administration,Negative
I NEED to see Justin tomorrow at the today show but I can't skip class :(,Academics,Negative
"call it magic realism or surrealism , but miss wonton floats beyond reality with a certain degree of wit and dignity .",Academics,Positive
""" I watch on SS4 with Mondays top class analysis who knows may the entire SA<lol> RT\""""""""",Academics,Neutral
"So when we first went here for brunch, I had no idea it was a vegetarian restaurant.  That's an unpleasant prospect to face down after a hard night of drinking, which is the only time the idea of brunch ever occurs to me.  But then, the grim Spectre of Laziness appeared to me and asked, \""Do you rea",Hostel,Neutral
Shocking! Warriors may actually have the best coaching staff in the Pacific Division.,Administration,Positive
the minor figures surrounding [bobby] . . . form a gritty urban mosaic .,Administration,Positive
Student records are maintained in both physical and electronic formats.,Administration,Neutral
Hanging with Tony & Cherie Blair. Got papped. Average Wednesday night stuff...,Hostel,Neutral
Beyonce followers want the Obama Administration to make her birthday a national holiday!,Administration,Positive
"I used to live about four blocks from the Quiet Storm, and for a period breakfast here was an every day affair.  Those two facts have nothing to do with each other--the period in question was close to the end of the first semester of my (super-)senior year, when my friends and I would stay in our st",Academics,Positive
"This is easily one of the best Giant Eagles I've ever been to. Huge. Very nice selection. Easily comparable to Whole Foods. Went to their cheese market, and was pleasantly surprised with the selection. I got Beemster Vlaskas, an amazing Gouda. Very large parking lot.",Facilities,Positive
"the overall feel is not unlike watching a glorified episode of "" 7th heaven . """,Others,Negative
"it's a bizarre curiosity memorable mainly for the way it fritters away its potentially interesting subject matter via a banal script , unimpressive acting and indifferent direction .",Academics,Negative
Credit where it's due that is a good ball by Mason but I would say the ball is made by Kane's run. He'll score 2 in the 2nd half.,Academics,Neutral
26 August Free Kids Minecraft App Building: Creating web apps about Minecraft!,Facilities,Positive
"get the new frequency, the phone you have now may not work on their LTE network anymore. But HSPA is always the same.""",Others,Negative
College stakeholder communication is adequate though improvement would enhance relationships,Others,Neutral
FUN MEDIA FACT: On this day in 1976 George Harrison appeared on Saturday Night Live,Hostel,Positive
Professors adapt teaching methods to accommodate different learning styles of students,Faculty,Positive
"I tried this place out Tuesday night with a fellow yelper friend after a trip to the Mint Museum on Randolph and wasn't as impressed as some of the other reviewers I see for Cuisine Malaya.   The menu is extensive though a strange combination of Chinese, Japanese, Thai, Indian and maybe more...but I",Hostel,Neutral
Aquarius - Uranus in your 8th house and Uranus in the 853rd house brings you to look to Arsenal's press conference for guidance,Faculty,Neutral
"The menu is outstanding but the pizza and beer is too expensive. For 2 personal pizzas (the size of pizza hut) 2 beers and 2 salads, we paid over $50 bucks. The personal pizzas alone were $11 each... If you want pizza and beer go somewhere else-pasta appetizers, or sandwiches... this place is good.",Mess,Negative
"Old but clean, may not be in the best part of town but conveniently located close to downtown.  I found the staff to be extremely nice and helpful.\n\nI felt completely comfortable waiting on the train; I can't ask for much more!",Administration,Neutral
Day chilling with Kurt in Sheffield\u002c movie night in then out for a posh meal tomorrow! Maybe even a KFC for breakfast....,Mess,Positive
"The absolute worst service I have ever had at any bar or restaraunt.  And, in looking at other reviews, I am not the first.  There are many options at the Waterfront, and I would suggest you try any of them; but stay far away from this place!",Hostel,Negative
"During restaurant week, my friends and I went here for dinner. The food was good. I ordered the pecan crusted trout and peach cobbler. According to my husband, the cobbler was \""OK.\"" The trout was delicious and I would definitely order it again. Also, I tried the lobster macaroni, it was awesome an",Mess,Neutral
Your Tom Brady meme may just prove that you are a bigger fan of Social Media than you are of actual Football.,Others,Neutral
"Brought the family to Tom's last weekend, and was disappointed.  On the positive side, the prices were excellent, much better than the canonical breakfast spots in the strip.  However, the food was heavy, greasy, and made from mediocre ingredients.  I didn't care for the spinach  / feta omelet, the",Mess,Negative
I stay up til 6:30 every morning just to watch Between the Lions.,Hostel,Neutral
The syllabus is outdated and doesn't align with current industry requirements.,Academics,Negative
"When I think of Frank Gifford, I think of him as the guy on Monday Night Football than his playing career.""",Hostel,Positive
Faculty members are often unprepared for classes and lack proper lesson planning,Faculty,Negative
Fun Fact: Chris Christie got to the 1st tier debate by eating Bobby Jindal.,Mess,Positive
Omg college athletes know what weed is!? Maaaan I thought forsure Snoop Dogg was the only one..,Others,Neutral
He\u2019ll be the Eli Manning of the NBA\u002cthey r both 2 of the best 4th quarter players in their sports,Facilities,Positive
"I met a group of girls here for dinner last night, and my initial first impressions were very positive.  The space was attractive, with a nice bar area and bottles of wine decoratively placed on display.  Some of the wine was reasonably priced, and the wine list included descriptive words below each",Hostel,Negative
"Terrific lunch spot!  Their cubano sandwiches are excellent...and always go with the fries...skinny, perfectly made fries.  Their Mojitos and Caipirinhas are the very best in town...dinner seemed a bit overpriced, but the food is still excellent.  The other nice part of Latorres is that its in the h",Mess,Positive
"Every strip club has its perks and aspects it needs to work on, and Uptown Cabaret is no different.\n\nThe good: girls tend to be attractive, waitstaff is cute too, most of the dances aren't unreasonably expensive.\n\nNeeds improvement: some of the girls seem a bit stuck up.  They act like they are",Others,Neutral
"Overall, I find Fujo to be fairly average, but it's convenient and if you know what to order you can get a good meal.  \n\nYou can ask for all white meat in your chicken dish, so if you have a problem with weird, inedible black pieces of meat in your GENERAL's or SESAME CHICKEN, specify all white me",Others,Neutral
is the best of the Premier League! His overall EA Sports Player Performance Index score: 217. (1st place),Facilities,Positive
Not a terrible experience but not an amazing one. I like LAX as my favorite airport. The wifi is speedy and sso are the check ins. San Deigo has a good airport. I didn't check in so I have never waited in line at TSA. I have had this as a stop over ALOT because I've flown US airways a million times.,Facilities,Negative
Active student council that effectively represents student interests and concerns,Others,Positive
Have you heard we have a NEW CLASS: Meditation &amp; Mantra?!? Every Wednesday 7:30 - 8:30am with Being Yoga with...,Academics,Neutral
"This is what a diner should be.  Yummy, fresh(ish) food with staple american bites like burgers and meatloaf sandwiches.  Cramped, with experienced servers that leave the check on the table with the food.\n\nMy soup was the meal's highlight- obviously made from scratch in the kitchen.  Reuben burger",Mess,Positive
"This place is basically \""the place\"" you hear about when you say you are going to Pittsburgh. And I am glad I tried it. I can see it being bringing back memories of college days to any alumni.\n\n+friendly service. It was day 2 of our cashier/ waitress and I thought she was pretty amazing. \n+fries",Others,Neutral
I was happy to find that gymnasium facilities help students maintain physical fitness and health,Hostel,Positive
"I am a foodie so when I travel, I must try foods that are famous in the city that I visit. So, Primati Bros is a must on my Pittsburgh trip. Well, I was not disappoint after eating their #2 almost famous pittsburger.  Next time, I will try the pastrami. My friend had the pastrami, and it looked tast",Mess,Positive
"Damn lol. I needa catch up. You know it took me the whole 5th grade to watch Naruto, and that wae the year Shippuuden came out?""",Academics,Neutral
"This place is only getting 2 stars as they comped my salad, meal, glass of wine, and soda without me asking to.\n\nWORST dining experience EVER. First off, not even a fan of this place, but it was a coworker's birthday, and she chose to dine here. It was Race Week in Charlotte, but the restaurant wa",Mess,Negative
living alone I love the 5 for $20 deals they have on meat. I also love Faygo products when I have a party or bbq so their sales are always right on time. They don't have as many stores in the area but they are worth checking out. The lines are a lot shorter and the staff is a lot friendlier.,Administration,Neutral
Regular cleaning and sanitization of dining area maintains high hygiene standards,Mess,Positive
College events are held regularly though attendance levels vary by year.,Others,Negative
"I'm new to climbing so I've not got much to compare this place to. So far I've loved the place and have had no qualms except that the music selection. Mix it up guys... Something other than classic rock, please. \nGood hours, nice staff (a little absent at times but still genuinely nice and helpful)",Administration,Neutral
"""\""""""""Harry Styles is leaving One Direction and going to form a two-man band with Ed on the 31st of February.\"""""""" Right\u002c and I\u2019m married to Obama""",Administration,Neutral
less a study in madness or love than a study in schoolgirl obsession .,Academics,Negative
Tomorrow is the ladt day of the Sydney Dalton diet and let me tell you it has been hell and I bet it doesnt even work,Mess,Negative
The academic environment promotes intellectual curiosity and lifelong learning,Academics,Positive
"""Running class tomorrow at 8.00am and 9.30am, Hype park, get faster with The Transformers.""",Academics,Neutral
"So Uriah Faber, not Frankie Edgar or Jose Aldo, will get the 1st crack at Conor mcgregor. Is it me or are they just building him up.",Facilities,Neutral
"""Bizarre fact: Remembrance Sunday (tomorrow, peeps!) shares the record for joint longest televised annual event with the Chelsea Flower Show""",Others,Neutral
bro you going to that event at Gampel on friday?,Others,Neutral
the movie just has too much on its plate to really stay afloat for its just under ninety minute running time .,Hostel,Negative
Campus bookstore stocks all required textbooks and academic materials,Facilities,Positive
RT Our new dance instructor for has toured w/ Beyonce!!! You know our Beyonce themed night is going to be ...,Faculty,Neutral
"sinks so low in a poorly played game of absurd plot twists , idiotic court maneuvers and stupid characters that even freeman can't save it .",Facilities,Negative
"Compared to other Whole Foods locations, this one is tiny! For comparison, the Whole Foods in Las Vegas must be at least three times the size. Still, it's nice to have and it is pretty decent overall albeit pricey.",Others,Positive
"Amid the buzz of Google's new logo last Monday, a lot of people missed Tuesday's announcement that native Gmail...",Administration,Positive
Apparently there is an Office for the Feast of Blessed Pope John Paul II which is on Monday;,Administration,Neutral
I still doubt Apple will announce new iPad at tomorrow's event. Apple might dedicate most of the keynote on new Apple TV.,Faculty,Neutral
This is one of my favorite places to eat since I was a kid growing up here in Charlotte. \nWe still go there a few times a year as a family when we have a large group together. Great place for birthdays as well. Always seems like the food is consistent and has remained solid over the years. Ingredie,Mess,Positive
